"","docID","negative","positive","polarity"
"1",2,3,4,1
"2",3,5,5,0
"3",4,1,2,1
"4",5,3,4,1
"5",6,3,2,-1
"6",7,1,2,1
"7",8,2,2,0
"8",9,1,3,2
"9",10,1,2,1
"10",12,4,5,1
"11",13,0,2,2
"12",14,0,1,1
"13",15,0,7,7
"14",18,1,1,0
"15",19,0,1,1
"16",21,1,1,0
"17",22,1,1,0
"18",23,0,1,1
"19",24,10,9,-1
"20",26,1,1,0
"21",27,0,1,1
"22",28,8,12,4
"23",29,6,10,4
"24",30,2,4,2
"25",31,1,0,-1
"26",32,4,0,-4
"27",33,0,1,1
"28",34,0,2,2
"29",36,2,1,-1
"30",39,3,0,-3
"31",40,4,10,6
"32",42,0,1,1
"33",43,1,2,1
"34",44,1,1,0
"35",45,2,0,-2
"36",47,1,3,2
"37",49,2,0,-2
"38",50,0,1,1
"39",51,1,5,4
"40",52,0,1,1
"41",53,0,1,1
"42",54,1,0,-1
"43",55,0,1,1
"44",56,1,2,1
"45",57,0,1,1
"46",58,3,0,-3
"47",59,0,1,1
"48",60,1,3,2
"49",61,0,1,1
"50",62,2,0,-2
"51",64,2,1,-1
"52",65,0,2,2
"53",67,0,1,1
"54",68,2,1,-1
"55",69,0,1,1
"56",71,1,0,-1
"57",72,0,1,1
"58",73,4,2,-2
"59",74,0,1,1
"60",76,1,2,1
"61",77,8,12,4
"62",78,2,2,0
"63",79,1,0,-1
"64",81,0,1,1
"65",83,1,0,-1
"66",84,1,0,-1
"67",86,1,1,0
"68",87,1,1,0
"69",88,3,4,1
"70",89,0,2,2
"71",92,2,0,-2
"72",94,3,1,-2
"73",95,4,3,-1
"74",96,0,1,1
"75",97,3,3,0
"76",98,1,1,0
"77",100,1,2,1
"78",101,1,1,0
"79",103,1,3,2
"80",104,2,1,-1
"81",105,1,1,0
"82",107,0,1,1
"83",108,3,15,12
"84",109,0,1,1
"85",110,6,3,-3
"86",112,3,2,-1
"87",113,0,1,1
"88",114,1,0,-1
"89",115,12,8,-4
"90",116,1,1,0
"91",118,7,15,8
"92",119,3,7,4
"93",121,3,3,0
"94",122,0,2,2
"95",123,2,8,6
"96",125,0,2,2
"97",126,0,3,3
"98",127,2,2,0
"99",128,0,3,3
"100",129,0,1,1
"101",130,1,6,5
"102",131,0,2,2
"103",132,2,4,2
"104",133,3,3,0
"105",134,0,2,2
"106",136,0,2,2
"107",137,1,1,0
"108",138,0,1,1
"109",139,1,5,4
"110",141,4,2,-2
"111",143,2,0,-2
"112",144,1,7,6
"113",146,1,1,0
"114",147,3,4,1
"115",148,1,1,0
"116",149,1,2,1
"117",150,0,1,1
"118",153,1,2,1
"119",154,1,0,-1
"120",158,1,1,0
"121",159,0,1,1
"122",160,0,2,2
"123",161,1,1,0
"124",162,0,1,1
"125",163,0,1,1
"126",164,1,0,-1
"127",166,1,1,0
"128",167,3,5,2
"129",168,0,2,2
"130",169,0,1,1
"131",170,0,2,2
"132",172,1,0,-1
"133",173,0,1,1
"134",175,3,3,0
"135",176,1,1,0
"136",177,2,3,1
"137",179,1,0,-1
"138",181,1,2,1
"139",182,2,1,-1
"140",183,0,2,2
"141",184,4,0,-4
"142",188,4,5,1
"143",189,0,1,1
"144",191,0,1,1
"145",192,1,0,-1
"146",193,1,3,2
